 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 10/05/2012   17:09:15
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:09:16  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.14' using real height 14 pixels  |  ..\..\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  204
17:09:16  |  Core  |  Info  |  Load ini file 'core_resource.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  152
17:09:16  |  Core  |  Info  |  Load ini file 'core_skin.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  152
17:09:16  |  Core  |  Info  |  Load ini file 'core_pointer.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  152
17:09:16  |  Core  |  Info  |  Load ini file 'core_layer.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  152
17:09:16  |  Core  |  Info  |  Load ini file 'core_settings.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  152
17:09:16  |  Core  |  Info  |  Gui successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_Gui.cpp  |  129
17:09:16  |  Core  |  Warning  |  dublicate resource name 'RotatingSkin'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'RawRect'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'StaticText'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'FlowContainer'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Spacer'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'StaticImage'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'skin_Pointer'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Canvas'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'RenderBox'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'TestRenderBox'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'TileClient'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'DefaultClient'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Separator4'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Separator3'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Separator2'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Separator1'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MarkerGreen'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MarkerYellow'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MarkerBlack'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MarkerWhite'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'RectBlue'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'RectGreen'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'StretchRectangleLeft'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
